0.2911,0.3783,,-1.356677393
0.6565,0.5494,,-0.51486106
0.5135,0.1638,,-2.4210409
0.7346,0.8694,,0.260608585
0.1111,0.9439,,-0.079179874
0.6141,0.4561,,-0.837050531
0.9412,0.5792,,0.071552202
0.332,0.9186,,-0.058980859
0.0495,0.1122,,-3.155310273
0.6029,0.1977,,-2.056378703
0.5999,0.8758,,0.087411981
0.3718,0.8209,,-0.20043211
0.7478,0.3298,,-1.116761906
0.179,0.4325,,-1.19567193
0.9196,0.1063,,-2.422830283
0.0903,0.204,,-2.290908642
0.8526,0.8839,,0.493172642
0.9436,0.324,,-0.761026448
0.7748,0.1045,,-2.7300115
0.7533,0.7977,,0.166433701
0.2115,0.7119,,-0.469681521
0.689,0.0271,,-4.811516312
0.8268,0.6474,,-0.005684807
0.5317,0.0428,,-4.340103315
0.9657,0.9804,,0.887885643
0.8716,0.1936,,-1.659609415
0.3172,0.2533,,-1.924413662
0.9084,0.3686,,-0.653382732
0.4528,0.1309,,-2.795498912
0.3401,0.2412,,-1.98424281
0.4769,0.6258,,-0.519165455
0.5072,0.8875,,0.011028576
0.9979,0.5261,,0.068167221
0.8112,0.8535,,0.364142489
0.5044,0.0157,,-5.812400142
0.3273,0.1866,,-2.360692581
0.4459,0.3161,,-1.528778978
0.9856,0.5967,,0.219465547
0.5519,0.3251,,-1.39476203
0.4613,0.7386,,-0.292604621
0.2184,0.4628,,-1.089248126
0.9333,0.1247,,-2.161968482
0.7814,0.2649,,-1.376741603
0.0666,0.3205,,-1.640459054
0.5818,0.5288,,-0.661018965
0.9452,0.3805,,-0.525452726
0.2532,0.0549,,-4.15479042
0.0281,0.7591,,-0.397505781
0.2552,0.258,,-1.921656592
0.8214,0.4691,,-0.480546273
0.4163,0.4969,,-0.897153444
0.2373,0.9764,,-0.007024629
0.23,0.1988,,-2.305240389
0.0088,0.9616,,-0.056483934
0.7917,0.9915,,0.54538592
0.3971,0.0778,,-3.58471731
0.7539,0.5162,,-0.460501134
0.2286,0.7851,,-0.324066025
0.8698,0.7785,,0.344352594
0.7656,0.1758,,-1.995125958
0.6507,0.1654,,-2.254420648
0.6742,0.3172,,-1.283309341
0.4926,0.8979,,0.014935065
0.3623,0.3856,,-1.295815086
0.9983,0.3863,,-0.376451
0.2564,0.7085,,-0.463871678
0.1127,0.1315,,-2.922601368
0.3311,0.0963,,-3.313239481
0.7958,0.6188,,-0.127505127
0.6375,0.2179,,-1.87377253
0.953,0.2828,,-0.935536738
0.9025,0.5503,,-0.087928829
0.685,0.2981,,-1.35777893
0.7007,0.5057,,-0.572657226
0.607,0.8677,,0.082327604
0.6177,0.8578,,0.078590805
0.8038,0.8704,,0.379005746
0.2005,0.5559,,-0.829102156
0.6513,0.9227,,0.226269659
0.4403,0.5591,,-0.710183029
0.7585,0.2541,,-1.475472609
0.1959,0.7111,,-0.474889835
0.4712,0.69,,-0.382921824
